날짜,시가,고가,저가,종가,거래량,등락률
2024-02-06,134700,135500,133400,133600,1354,-0.8166295471417966
2024-02-07,133600,135200,133300,135000,1479,1.0479041916167664
2024-02-08,135000,135500,133800,134100,1630,-0.6666666666666667
2024-02-13,134100,135500,134100,135100,1449,0.7457121551081283
2024-02-14,135100,137500,134000,136500,6218,1.0362694300518136
2024-02-15,137000,137900,135900,137000,3950,0.3663003663003663
2024-02-16,137000,139000,136300,139000,4113,1.4598540145985401
2024-02-19,139000,143000,134100,142800,9165,2.7338129496402876
2024-02-20,142900,143700,141900,142300,4423,-0.350140056022409
2024-02-21,142400,143000,140500,142200,3281,-0.07027406886858749
2024-02-22,142200,142200,140400,140400,1728,-1.2658227848101267
2024-02-23,140400,141800,139800,141200,3825,0.5698005698005698
2024-02-26,142300,142300,138100,138600,2991,-1.8413597733711047
2024-02-27,139200,139800,136900,137000,3194,-1.1544011544011543
2024-02-28,136300,137900,135900,136300,1304,-0.5109489051094891
2024-02-29,136500,137900,134900,135300,3406,-0.7336757153338225
2024-03-04,136900,137500,132600,133400,6619,-1.4042867701404287
2024-03-05,133400,134800,132500,132700,3939,-0.5247376311844079
2024-03-06,132700,135000,132300,134000,1024,0.9796533534287867
2024-03-07,134100,134900,132500,133000,2630,-0.7462686567164178
2024-03-08,135100,135500,133000,135100,2608,1.5789473684210527
2024-03-11,136100,136800,134600,136800,2803,1.2583271650629164
2024-03-12,136400,137600,135100,136500,2077,-0.21929824561403508
2024-03-13,136700,137600,135500,137300,2721,0.5860805860805861
2024-03-14,137300,137300,135600,136200,2306,-0.8011653313911145
2024-03-15,136200,137300,133900,133900,3983,-1.6886930983847284
2024-03-18,134100,136000,134100,136000,3641,1.568334578043316
2024-03-19,136000,136900,135600,135700,2498,-0.22058823529411764
2024-03-20,135300,137200,135300,136600,1583,0.6632277081798084
2024-03-21,136600,138600,136600,137300,2252,0.5124450951683748
2024-03-22,138300,139400,137400,139300,2810,1.4566642388929352
2024-03-25,139300,141400,138700,140800,7129,1.0768126346015794
2024-03-26,140000,142200,140000,141400,2907,0.4261363636363636
2024-03-27,141200,141500,139600,139600,2421,-1.272984441301273
2024-03-28,140600,140900,138200,138200,1627,-1.002865329512894
2024-03-29,138200,138800,137300,138000,3589,-0.1447178002894356
2024-04-01,138000,143000,138000,141900,4303,2.8260869565217392
2024-04-02,141900,142700,139000,139000,2715,-2.04369274136716
2024-04-03,139500,142600,139000,141500,5424,1.7985611510791366
2024-04-04,142000,143600,141700,143100,4050,1.1307420494699647
2024-04-05,143100,143100,141600,141700,2344,-0.9783368273934312
2024-04-08,141700,143000,140000,141300,2140,-0.2822865208186309
2024-04-09,141700,142800,140000,141100,2404,-0.14154281670205238
2024-04-11,141000,141000,137800,139500,1347,-1.1339475549255846
2024-04-12,139500,140800,138000,139400,2184,-0.07168458781362007
2024-04-15,139200,141700,136000,141200,3511,1.291248206599713
2024-04-16,141100,142900,139500,140300,7243,-0.6373937677053824
2024-04-17,140300,141800,140100,140100,2912,-0.14255167498218105
2024-04-18,140100,142800,140000,142500,1801,1.7130620985010707
2024-04-19,143000,143200,140600,143000,3483,0.3508771929824561
2024-04-22,142200,145700,142200,145400,8418,1.6783216783216783
2024-04-23,146000,146000,143300,144200,2139,-0.8253094910591471
2024-04-24,144600,145500,142700,143400,2475,-0.5547850208044383
2024-04-25,143400,144500,142500,143300,1720,-0.0697350069735007
2024-04-26,143700,144500,142400,144500,1578,0.8374040474528961
2024-04-29,144900,145200,144200,144600,1956,0.06920415224913494
2024-04-30,145200,147700,144600,147400,9869,1.9363762102351314
2024-05-02,145700,147700,145700,146800,5784,-0.40705563093622793
2024-05-03,146800,146900,145700,145700,1508,-0.7493188010899182
2024-05-07,146000,146700,145100,146000,3488,0.20590253946465342
2024-05-08,146000,146500,145400,146200,1120,0.136986301369863
2024-05-09,146900,146900,145800,146100,1102,-0.06839945280437756
2024-05-10,146700,146700,145400,146500,1186,0.2737850787132101
2024-05-13,146900,149800,146600,149500,8042,2.04778156996587
2024-05-14,150000,150500,146500,147100,6270,-1.6053511705685617
2024-05-16,148900,150900,147600,149000,5418,1.291638341264446
2024-05-17,150900,153000,150000,150700,7068,1.1409395973154361
2024-05-20,152400,154400,151200,151600,5435,0.5972130059721301
2024-05-21,151600,151900,150600,150600,2320,-0.6596306068601583
2024-05-22,150600,154300,150600,152800,4931,1.4608233731739706
2024-05-23,153100,153900,151500,151900,1892,-0.5890052356020943
2024-05-24,151900,156400,150000,155100,7488,2.106649111257406
2024-05-27,155400,159400,155400,157600,7889,1.6118633139909737
2024-05-28,157700,157700,155700,157200,3445,-0.25380710659898476
2024-05-29,157300,157400,154000,154000,3660,-2.035623409669211
2024-05-30,154000,154400,150900,151600,3927,-1.5584415584415585
2024-05-31,151600,153000,150500,152500,1726,0.5936675461741424
2024-06-03,153000,153800,151500,152500,2822,0.0
2024-06-04,152500,153300,148900,149100,2837,-2.2295081967213117
2024-06-05,149000,150000,147200,148400,2509,-0.4694835680751174
2024-06-07,148400,150200,148000,150200,1545,1.2129380053908356
2024-06-10,150300,156800,149000,156000,8639,3.861517976031957
2024-06-11,156100,157900,153600,154600,4476,-0.8974358974358974
2024-06-12,154700,158800,154100,156800,5937,1.423027166882277
2024-06-13,157200,159000,154800,156400,4589,-0.25510204081632654
2024-06-14,157400,159900,155500,159900,7780,2.237851662404092
2024-06-17,160000,161000,158500,160500,7528,0.37523452157598497
2024-06-18,160600,161400,159700,161200,3798,0.43613707165109034
2024-06-19,161300,161300,156700,156700,7166,-2.791563275434243
2024-06-20,157500,157900,156900,157800,1937,0.7019783024888321
2024-06-21,157800,157800,155300,155300,2956,-1.5842839036755387
2024-06-24,155400,158000,155300,155800,3334,0.3219575016097875
2024-06-25,155800,162000,155200,157100,6085,0.8344030808729139
2024-06-26,157900,159700,156800,157900,4373,0.5092297899427116
2024-06-27,157900,157900,152700,152700,3280,-3.2932235592146926
2024-06-28,154700,155400,153300,154200,1416,0.9823182711198428
2024-07-01,154200,155000,151100,152000,3481,-1.4267185473411155
2024-07-02,152100,153100,148600,149600,3210,-1.5789473684210527
2024-07-03,151400,151400,146000,146300,4599,-2.2058823529411766
2024-07-04,147500,148000,146000,146500,2892,0.1367053998632946
2024-07-05,147400,149000,146300,146900,3457,0.27303754266211605
2024-07-08,147800,148500,146900,147400,1784,0.3403675970047651
2024-07-09,147500,148500,146200,147400,2039,0.0
2024-07-10,147400,147800,146600,147500,2014,0.06784260515603799
2024-07-11,148700,148800,147100,148200,1880,0.47457627118644063
2024-07-12,148200,150800,148100,150000,2054,1.214574898785425
2024-07-15,149600,152800,149400,152100,3067,1.4000000000000001
2024-07-16,152000,152700,150100,150100,3222,-1.314924391847469
2024-07-17,150300,151600,150300,150800,1383,0.4663557628247834
2024-07-18,150800,152000,149200,152000,2895,0.7957559681697612
2024-07-19,151300,151300,148500,148900,1518,-2.0394736842105265
2024-07-22,149000,151400,146200,147200,1908,-1.1417058428475486
2024-07-23,147500,153700,147300,152800,3476,3.804347826086957
2024-07-24,152000,152600,150100,151700,1438,-0.7198952879581152
2024-07-25,151700,152000,149000,150200,3557,-0.988793671720501
2024-07-26,150100,153800,149800,151300,3608,0.7323568575233023
2024-07-29,151400,154000,150200,152400,2997,0.7270323859881032
2024-07-30,152500,153500,152000,153100,2244,0.45931758530183725
2024-07-31,153700,155700,153300,155000,2476,1.2410189418680602
2024-08-01,155000,155000,152300,152700,2370,-1.4838709677419355
2024-08-02,153600,153600,150200,151000,4000,-1.1132940406024885
2024-08-05,150600,150600,140300,141100,7008,-6.556291390728476
2024-08-06,142700,147000,141500,145400,5003,3.047484053862509
2024-08-07,146000,151000,145000,149100,2079,2.544704264099037
2024-08-08,149100,150000,145000,149500,1865,0.2682763246143528
2024-08-09,149500,149800,148000,148500,2270,-0.6688963210702341
2024-08-12,149700,149700,147600,148400,1274,-0.06734006734006734
2024-08-13,148500,151000,148400,149500,3183,0.7412398921832885
2024-08-14,151500,151700,149400,150200,1831,0.46822742474916385
2024-08-16,151900,151900,147700,147900,3614,-1.5312916111850865
2024-08-19,148500,148500,143900,144700,4916,-2.1636240703177823
2024-08-20,145100,146200,144800,146000,1982,0.8984105044920525
2024-08-21,146000,146500,144000,145600,3020,-0.273972602739726
2024-08-22,145500,145500,143600,145000,3508,-0.4120879120879121
2024-08-23,144400,144700,139500,141000,8916,-2.7586206896551726
2024-08-26,141300,141300,138000,140500,5188,-0.3546099290780142
2024-08-27,138700,142000,138700,141900,1837,0.99644128113879
2024-08-28,142100,142100,140400,141400,1527,-0.3523608174770966
2024-08-29,141400,141400,137400,138000,7660,-2.4045261669024045
2024-08-30,137500,140700,137500,139400,1835,1.0144927536231882
2024-09-02,139400,139400,136500,138800,4337,-0.430416068866571
2024-09-03,139200,139800,138200,138200,2309,-0.43227665706051877
2024-09-04,137500,137600,136000,136600,2657,-1.1577424023154848
2024-09-05,136500,138700,135600,137000,2948,0.29282576866764276
2024-09-06,137400,137400,134600,136300,2875,-0.5109489051094891
2024-09-09,134700,137700,134000,136900,1875,0.4402054292002935
2024-09-10,137400,139000,137000,138700,1499,1.3148283418553688
2024-09-11,138600,139500,137400,138900,2529,0.14419610670511895
2024-09-12,138500,139200,138500,139000,988,0.07199424046076314
2024-09-13,139900,139900,138500,138900,3646,-0.07194244604316546
2024-09-19,139900,140000,137800,139900,3951,0.7199424046076314
2024-09-20,140000,140000,136500,137000,6056,-2.0729092208720514
2024-09-23,138000,141900,137000,139900,6756,2.116788321167883
2024-09-24,139800,139800,138600,139200,1335,-0.5003573981415297
2024-09-25,139300,140400,137100,137900,3380,-0.9339080459770116
2024-09-26,138800,139300,137500,138900,2558,0.7251631617113851
2024-09-27,139100,141800,138000,139400,1747,0.3599712023038157
2024-09-30,140900,140900,138100,138100,2357,-0.9325681492109038
2024-10-02,138000,138000,134200,135300,7859,-2.0275162925416366
2024-10-04,135400,136000,134400,134600,2962,-0.5173688100517368
2024-10-07,133200,135500,132800,134900,3817,0.22288261515601782
2024-10-08,134900,134900,132300,133000,3335,-1.4084507042253522
2024-10-10,133700,137100,133100,134600,6880,1.2030075187969926
2024-10-11,134600,135000,133900,133900,2230,-0.5200594353640415
2024-10-14,133900,135000,133300,134900,2266,0.7468259895444361
2024-10-15,135900,136800,134900,136700,2742,1.3343217197924389
2024-10-16,136600,136600,135000,135700,1166,-0.7315288953913679
2024-10-17,136000,136400,134800,134800,2036,-0.6632277081798084
2024-10-18,134800,136200,134300,136200,2070,1.0385756676557862
2024-10-21,136200,136200,134300,135500,1836,-0.5139500734214391
2024-10-22,135500,135500,133700,135000,2313,-0.36900369003690037
2024-10-23,133700,139000,133600,136000,4412,0.7407407407407408
2024-10-24,136000,136000,133500,133900,2616,-1.5441176470588236
2024-10-25,133800,133800,131500,132600,4494,-0.9708737864077669
2024-10-28,132600,132600,131200,132000,1587,-0.4524886877828055
2024-10-29,131500,133000,131400,133000,1778,0.7575757575757576
2024-10-30,133100,133900,131100,131100,2203,-1.4285714285714286
2024-10-31,132000,132700,131100,132200,2424,0.8390541571319604
2024-11-01,132200,132500,131800,132400,935,0.15128593040847202
2024-11-04,132400,133300,132400,133300,1094,0.6797583081570997
2024-11-05,133600,133600,132300,133600,727,0.22505626406601648
2024-11-06,133600,133900,132000,132200,1938,-1.0479041916167664
2024-11-07,132400,133900,131600,131700,1995,-0.37821482602118006
2024-11-08,140000,140000,131700,132100,3091,0.30372057706909644
2024-11-11,132100,132700,129000,129300,6560,-2.1196063588190763
2024-11-12,129300,130100,127400,128000,5256,-1.005413766434648
2024-11-13,128000,129400,123400,124300,8552,-2.890625
2024-11-14,124300,125700,123100,123300,4294,-0.8045052292839904
2024-11-15,123300,125100,123000,125100,3115,1.4598540145985401
2024-11-18,124200,128500,124200,127000,2772,1.518784972022382
2024-11-19,132200,135000,130200,131400,8142,3.4645669291338583
2024-11-20,133200,135900,131500,135500,5514,3.1202435312024352
2024-11-21,136000,136000,132800,134000,3606,-1.107011070110701
2024-11-22,134000,134000,131900,132200,2101,-1.3432835820895521
2024-11-25,132400,134000,131400,132500,1817,0.22692889561270801
2024-11-26,132500,133800,131700,133500,1722,0.7547169811320755
2024-11-27,133400,133400,131700,132000,1731,-1.1235955056179776
2024-11-28,131000,133300,129000,132600,2246,0.45454545454545453
2024-11-29,133500,133500,129900,130800,2550,-1.3574660633484164
2024-12-02,130800,131500,129000,130000,2636,-0.6116207951070336
2024-12-03,129200,134200,129200,132600,3100,2.0
2024-12-04,130700,133400,130500,132900,5263,0.22624434389140274
2024-12-05,132900,132900,129000,129000,2836,-2.9345372460496613
2024-12-06,128600,131500,128200,128600,1966,-0.31007751937984496
2024-12-09,128200,128200,125200,125500,4293,-2.410575427682737
2024-12-10,125300,132000,125300,129100,1435,2.8685258964143427
2024-12-11,129100,130800,128700,130000,1024,0.69713400464756
2024-12-12,130000,130500,129200,130100,905,0.07692307692307693
2024-12-13,129400,131200,129200,129900,3951,-0.15372790161414296
2024-12-16,129900,131400,129500,130000,888,0.07698229407236336
2024-12-17,130500,130500,129300,129300,1162,-0.5384615384615384
2024-12-18,130300,131200,129400,130500,1544,0.9280742459396751
2024-12-19,129700,131000,129500,130400,1248,-0.07662835249042146
2024-12-20,129900,129900,127600,128900,3436,-1.1503067484662577
2024-12-23,128900,130200,128500,129800,950,0.6982156710628394
2024-12-24,129800,129900,129000,129400,1623,-0.30816640986132515
2024-12-26,129100,129700,128700,128800,1613,-0.46367851622874806
2024-12-27,128800,128800,127000,127200,1677,-1.2422360248447204
2024-12-30,127000,128400,126400,126800,1017,-0.3144654088050315
2025-01-02,126800,129700,125200,125600,2118,-0.9463722397476341
2025-01-03,128000,128600,126000,126500,1869,0.7165605095541402
2025-01-06,128900,128900,126400,127200,2101,0.5533596837944664
2025-01-07,127100,128100,126000,126500,2655,-0.550314465408805
2025-01-08,126100,127400,125900,126800,2997,0.23715415019762848
2025-01-09,126800,127000,126300,126400,1152,-0.31545741324921134
2025-01-10,126400,126600,126100,126500,1396,0.07911392405063292
2025-01-13,126500,126600,124600,126000,4063,-0.3952569169960474
2025-01-14,125500,126000,125100,125800,1107,-0.15873015873015872
2025-01-15,127200,127200,125000,125000,1888,-0.6359300476947536
2025-01-16,126000,126000,125100,125300,2748,0.24
2025-01-17,125800,126000,125300,125600,767,0.23942537909018355
2025-01-20,125500,126800,125500,126000,1234,0.3184713375796179
2025-01-21,127000,127000,125600,126500,1108,0.3968253968253968
2025-01-22,127000,127000,125800,126400,959,-0.07905138339920949
2025-01-23,126400,126400,125200,125200,1103,-0.949367088607595
2025-01-24,125200,126500,125200,126000,1809,0.6389776357827476
2025-01-31,126100,128100,125700,126900,4068,0.7142857142857143
2025-02-03,127000,127000,124800,125400,3461,-1.1820330969267139
2025-02-04,126900,126900,125400,126900,2152,1.1961722488038278
2025-02-05,126900,128800,126900,128000,4988,0.8668242710795903
2025-02-06,128000,129600,127800,129000,2777,0.78125
2025-02-07,129800,129800,127700,129400,2547,0.31007751937984496
2025-02-10,129800,130000,126300,129600,1581,0.1545595054095827
2025-02-11,129600,129900,127200,128000,3949,-1.2345679012345678
2025-02-12,128000,129400,127500,129100,1364,0.8593750000000001
2025-02-13,129200,131400,129000,129900,3024,0.6196746707978312
2025-02-14,129900,130900,129500,130700,1503,0.6158583525789069
2025-02-17,130700,131500,130400,130400,1626,-0.22953328232593728
2025-02-18,130400,131200,129900,130200,2852,-0.15337423312883436
2025-02-19,131800,133000,130400,132500,4346,1.7665130568356373
2025-02-20,132500,134000,132500,133700,4063,0.9056603773584906
2025-02-21,133700,133700,132800,133400,1997,-0.22438294689603588
2025-02-24,133500,134600,132100,133800,3546,0.29985007496251875
2025-02-25,133800,134100,133300,133700,4454,-0.07473841554559044
2025-02-26,132000,133800,132000,132400,5267,-0.9723261032161555
2025-02-27,132200,132200,129800,130700,3698,-1.283987915407855
2025-02-28,130400,130900,128700,128800,4267,-1.4537107880642692
2025-03-04,129800,130300,128900,130000,4350,0.9316770186335404
2025-03-05,130000,130700,129900,130700,2286,0.5384615384615384
2025-03-06,130700,133800,130300,133800,4891,2.371843917368018
2025-03-07,133800,135700,132100,134100,5697,0.2242152466367713
2025-03-10,134200,134500,132700,132700,2288,-1.0439970171513795
2025-03-11,132000,132800,130900,132800,2504,0.07535795026375283
2025-03-12,133400,134200,132500,133700,2336,0.677710843373494
2025-03-13,133700,133700,131200,132300,3614,-1.0471204188481675
2025-03-14,133100,133900,131800,133700,1402,1.0582010582010581
2025-03-17,133800,135000,133000,134400,1965,0.5235602094240838
2025-03-18,134500,134900,133800,134600,1932,0.1488095238095238
2025-03-19,134500,137200,134400,136600,6391,1.4858841010401187
2025-03-20,136600,138400,136100,137500,4483,0.6588579795021963
2025-03-21,138000,138000,134000,137100,6805,-0.2909090909090909
2025-03-24,137100,137500,135600,136800,2866,-0.2188183807439825
2025-03-25,137000,137400,136200,136700,3380,-0.07309941520467836
2025-03-26,137900,137900,136200,136400,2038,-0.21945866861741037
2025-03-27,136400,137500,136200,136800,4507,0.2932551319648094
2025-03-28,136300,136700,128100,135500,3028,-0.9502923976608186
2025-03-31,135500,135500,131500,132900,2754,-1.918819188191882
2025-04-01,133000,133900,131600,132400,3610,-0.3762227238525207
2025-04-02,133000,133000,131400,132100,2923,-0.22658610271903326
2025-04-03,131200,131900,128800,131200,2038,-0.6813020439061317
2025-04-04,131000,132900,129600,132900,2291,1.295731707317073
2025-04-07,131700,131700,128100,129300,5374,-2.708803611738149
2025-04-08,129300,130500,128100,130100,4681,0.6187161639597835
2025-04-09,128500,130000,126500,128400,4829,-1.3066871637202153
2025-04-10,131700,135000,128500,131000,2512,2.0249221183800623
2025-04-11,130900,130900,128200,129000,2959,-1.5267175572519083
2025-04-14,129000,130700,128600,130600,1894,1.2403100775193798
2025-04-15,129600,131900,129600,131700,1603,0.8422664624808576
2025-04-16,131700,133000,131600,132400,2930,0.5315110098709187
2025-04-17,132300,133500,132000,132200,1865,-0.1510574018126888
2025-04-18,132200,132850,131600,132200,2559,0.0
2025-04-21,132000,132000,131100,132000,1655,-0.15128593040847202
2025-04-22,131600,133300,131500,132500,963,0.3787878787878788
2025-04-23,133500,133700,132800,133700,1360,0.9056603773584906
2025-04-24,133700,135200,133700,134000,4532,0.22438294689603588
2025-04-25,135000,135000,133800,135000,1854,0.7462686567164178
2025-04-28,135500,135500,132200,133400,4125,-1.1851851851851851
2025-04-29,133700,135700,133400,135700,7460,1.7241379310344827
2025-04-30,135900,138000,135300,136900,7186,0.8843036109064112
2025-05-02,136900,139400,136900,138100,5268,0.8765522279035792
2025-05-07,138500,140200,138200,139800,4043,1.2309920347574221
2025-05-08,140300,142400,139600,141600,6993,1.2875536480686696
2025-05-09,141700,142800,140600,142300,6150,0.49435028248587576
2025-05-12,142300,143200,141100,142900,5000,0.4216444132115249
2025-05-13,142800,142800,137800,139500,10063,-2.3792862141357594
2025-05-14,139500,139700,137700,139500,2885,0.0
2025-05-15,139500,140100,138900,139300,3408,-0.14336917562724014
2025-05-16,139300,139300,136100,136800,9828,-1.7946877243359656
2025-05-19,136800,137500,135900,136100,3250,-0.5116959064327485
2025-05-20,136100,136800,135800,136500,2264,0.2939015429831006
2025-05-21,136500,136500,135200,136400,1923,-0.07326007326007326
2025-05-22,136100,136800,135700,135800,5889,-0.43988269794721413
2025-05-23,135800,136200,134600,135100,3556,-0.5154639175257731
2025-05-26,135000,136000,133300,133500,6647,-1.1843079200592153
2025-05-27,133500,134500,133500,134000,2835,0.37453183520599254
2025-05-28,134000,136900,134000,135900,7408,1.4179104477611941
2025-05-29,135900,138000,134600,136400,5370,0.36791758646063283
2025-05-30,136400,137900,136400,137900,2159,1.0997067448680353
2025-06-02,138000,138400,137000,137500,3720,-0.290065264684554
2025-06-04,137500,140400,137500,140400,9150,2.109090909090909
2025-06-05,140400,141400,139800,140600,4624,0.14245014245014245
2025-06-09,141100,145200,141100,143700,7777,2.204836415362731
2025-06-10,143600,145900,142000,144800,8660,0.7654836464857342
2025-06-11,144800,145500,142700,143400,6560,-0.9668508287292817
2025-06-12,144700,146700,143200,146700,7840,2.301255230125523
2025-06-13,146100,146700,142600,143700,7449,-2.044989775051125
2025-06-16,143700,145800,142400,145500,7059,1.2526096033402923
2025-06-17,146000,146600,144400,144600,3663,-0.6185567010309279
