날짜,시가,고가,저가,종가,거래량,등락률
2024-04-03,36650,37050,36050,36300,135184,-0.411522633744856
2024-04-04,37150,37800,34400,34800,256875,-4.132231404958678
2024-04-05,34400,35300,33850,35300,107621,1.4367816091954022
2024-04-08,34950,35000,34500,34850,59775,-1.2747875354107647
2024-04-09,34750,35450,34650,35300,110111,1.291248206599713
2024-04-11,34800,36200,34600,35250,182536,-0.141643059490085
2024-04-12,34950,35150,33300,33350,181968,-5.390070921985815
2024-04-15,33100,33950,33000,33950,69692,1.7991004497751124
2024-04-16,33300,33850,32950,33250,90017,-2.0618556701030926
2024-04-17,33400,33450,31950,32500,179023,-2.2556390977443606
2024-04-18,32800,33400,32450,33400,60222,2.769230769230769
2024-04-19,32650,33350,32000,32800,119175,-1.7964071856287425
2024-04-22,33350,34550,33100,34100,137447,3.9634146341463414
2024-04-23,34050,34900,34000,34900,75810,2.346041055718475
2024-04-24,35100,35100,34500,34800,69229,-0.28653295128939826
2024-04-25,34350,35100,34200,34850,45270,0.14367816091954022
2024-04-26,34850,35450,34550,35150,56984,0.860832137733142
2024-04-29,35450,36900,35300,36650,129572,4.267425320056899
2024-04-30,36600,37500,36350,37400,111264,2.046384720327422
2024-05-02,36800,37500,36350,36700,76767,-1.8716577540106951
2024-05-03,36700,36900,35000,35150,112476,-4.223433242506812
2024-05-07,35550,35950,34950,35450,134820,0.8534850640113799
2024-05-08,35450,35500,35100,35200,51372,-0.7052186177715092
2024-05-09,35200,35300,34750,34800,92645,-1.1363636363636365
2024-05-10,35200,35450,34650,35000,55869,0.5747126436781609
2024-05-13,35200,35200,34400,34650,84590,-1.0
2024-05-14,34500,35000,34150,34450,72776,-0.5772005772005772
2024-05-16,34800,35050,34150,34250,89067,-0.5805515239477503
2024-05-17,34100,34250,33600,33750,79831,-1.4598540145985401
2024-05-20,34100,34300,33700,33900,70917,0.4444444444444444
2024-05-21,33600,33900,33400,33700,76467,-0.5899705014749262
2024-05-22,33250,33900,33250,33600,39341,-0.2967359050445104
2024-05-23,33400,34350,33400,34000,68803,1.1904761904761905
2024-05-24,33500,34050,33500,33700,55369,-0.8823529411764706
2024-05-27,33700,34750,33600,34600,86125,2.6706231454005933
2024-05-28,34500,34600,33800,33800,78239,-2.312138728323699
2024-05-29,33650,33950,33300,33950,87841,0.4437869822485207
2024-05-30,33550,33700,32950,33050,124921,-2.6509572901325478
2024-05-31,33700,34100,33400,34000,119546,2.8744326777609683
2024-06-03,33700,34350,33650,34100,76140,0.29411764705882354
2024-06-04,33800,36000,33300,34850,251754,2.1994134897360706
2024-06-05,34650,35800,34450,35150,115451,0.860832137733142
2024-06-07,35050,35650,34400,34850,96107,-0.8534850640113799
2024-06-10,34450,35100,34200,34600,58699,-0.7173601147776184
2024-06-11,34750,35100,34100,34200,90189,-1.1560693641618496
2024-06-12,34100,35150,34100,34800,72709,1.7543859649122806
2024-06-13,35200,39500,35000,35200,1521215,1.1494252873563218
2024-06-14,35500,35650,34400,34600,263437,-1.7045454545454544
2024-06-17,34350,35450,34350,34900,129404,0.8670520231213872
2024-06-18,35200,35250,33300,33700,277743,-3.4383954154727796
2024-06-19,34050,34200,33350,34000,131190,0.8902077151335311
2024-06-20,34000,36100,33600,35050,360403,3.088235294117647
2024-06-21,34850,35000,34250,34250,254750,-2.282453637660485
2024-06-24,34300,34500,33800,33900,83959,-1.0218978102189782
2024-06-25,34200,34500,33800,34400,89052,1.4749262536873156
2024-06-26,34200,34200,33400,33450,166676,-2.761627906976744
2024-06-27,33250,33350,32700,32750,127515,-2.092675635276532
2024-06-28,32800,33050,32100,32400,164313,-1.0687022900763359
2024-07-01,32500,32800,32100,32650,125748,0.7716049382716049
2024-07-02,32350,32450,31700,31750,129905,-2.756508422664625
2024-07-03,32250,32250,31400,31700,167368,-0.15748031496062992
2024-07-04,31700,31950,31300,31600,125287,-0.31545741324921134
2024-07-05,31450,32050,31450,31550,111229,-0.15822784810126583
2024-07-08,31450,31700,31050,31550,77883,0.0
2024-07-09,31600,32200,31550,32200,109915,2.0602218700475436
2024-07-10,32000,32000,31650,31700,73955,-1.5527950310559007
2024-07-11,32000,32400,31700,32150,115376,1.4195583596214512
2024-07-12,32600,33700,32600,33400,241630,3.8880248833592534
2024-07-15,33400,34400,33300,34200,154121,2.3952095808383236
2024-07-16,34200,34750,33900,34150,196077,-0.14619883040935672
2024-07-17,34650,35550,34450,35150,335967,2.9282576866764276
2024-07-18,35200,35300,34200,34650,134633,-1.422475106685633
2024-07-19,34400,34550,33300,33600,103211,-3.0303030303030303
2024-07-22,33350,33550,32800,33400,90485,-0.5952380952380952
2024-07-23,33200,33850,32650,32650,65249,-2.245508982035928
2024-07-24,32450,33100,32350,32650,42906,0.0
2024-07-25,32650,32800,32150,32350,65018,-0.9188361408882083
2024-07-26,33750,34650,32500,34350,154508,6.182380216383308
2024-07-29,34200,35850,33900,35300,170304,2.7656477438136826
2024-07-30,34750,35800,34600,35450,89141,0.424929178470255
2024-07-31,35300,36000,34900,35200,619617,-0.7052186177715092
2024-08-01,34900,35800,34350,34650,202635,-1.5625
2024-08-02,33500,34000,31800,32500,377707,-6.204906204906205
2024-08-05,32200,32250,28600,29050,326769,-10.615384615384615
2024-08-06,29950,31100,29200,29700,226101,2.2375215146299485
2024-08-07,29750,29950,28900,29200,290898,-1.6835016835016834
2024-08-08,29000,30950,28850,30850,340988,5.650684931506849
2024-08-09,31000,31200,30500,30600,127177,-0.8103727714748784
2024-08-12,30650,31450,30500,31400,82645,2.6143790849673203
2024-08-13,31250,31550,30750,30900,71267,-1.5923566878980893
2024-08-14,31250,31350,30550,31250,67107,1.132686084142395
2024-08-16,31550,31600,30950,30950,73609,-0.96
2024-08-19,31300,31450,30900,31250,71963,0.9693053311793215
2024-08-20,31350,32550,31250,32150,156607,2.88
2024-08-21,32350,33250,31800,32700,171931,1.7107309486780715
2024-08-22,33000,33350,32050,32200,71207,-1.529051987767584
2024-08-23,32200,32950,31950,32700,70219,1.5527950310559007
2024-08-26,33500,33650,32600,32900,156283,0.6116207951070336
2024-08-27,33100,33250,32700,33000,102594,0.303951367781155
2024-08-28,32800,32800,31750,32000,120467,-3.0303030303030303
2024-08-29,32000,32300,31700,32100,56194,0.3125
2024-08-30,32200,33100,31650,33000,165298,2.803738317757009
2024-09-02,33000,33000,32300,32300,77016,-2.1212121212121215
2024-09-03,32600,32900,32250,32550,73172,0.7739938080495357
2024-09-04,31650,31950,30950,31200,124680,-4.147465437788019
2024-09-05,31250,31450,30200,30550,160791,-2.083333333333333
2024-09-06,30600,30600,29800,30150,140029,-1.309328968903437
2024-09-09,29550,30450,29400,30450,119261,0.9950248756218906
2024-09-10,30350,30650,29900,29950,104935,-1.6420361247947455
2024-09-11,30350,30350,29700,29900,94868,-0.1669449081803005
2024-09-12,30150,30550,29900,30550,101624,2.1739130434782608
2024-09-13,30550,31300,30550,31150,78066,1.9639934533551555
2024-09-19,31550,31650,30600,31100,126106,-0.16051364365971107
2024-09-20,31400,31500,29750,29750,725504,-4.340836012861737
2024-09-23,29950,30300,29550,29800,198455,0.16806722689075632
2024-09-24,30000,30500,29700,30500,217506,2.348993288590604
2024-09-25,30900,30900,29700,29750,248652,-2.459016393442623
2024-09-26,29850,30250,29700,30250,195128,1.680672268907563
2024-09-27,30350,30350,29800,29900,193847,-1.1570247933884297
2024-09-30,30200,30400,29650,29750,173103,-0.5016722408026756
2024-10-02,29500,29850,28900,29450,159188,-1.0084033613445378
2024-10-04,29450,29950,29150,29950,141244,1.697792869269949
2024-10-07,29650,29700,29150,29350,198060,-2.003338898163606
2024-10-08,29350,30150,29150,29700,318843,1.192504258943782
2024-10-10,29900,29900,28950,29300,406424,-1.3468013468013467
2024-10-11,29300,30200,29150,29350,374760,0.17064846416382254
2024-10-14,29450,29750,29200,29700,119471,1.192504258943782
2024-10-15,29750,30250,29400,30150,155716,1.5151515151515151
2024-10-16,29900,30200,29650,29950,86764,-0.6633499170812603
2024-10-17,30500,32650,30400,32100,805660,7.178631051752922
2024-10-18,31900,32100,30750,31100,197435,-3.115264797507788
2024-10-21,31550,31850,31050,31550,160764,1.4469453376205788
2024-10-22,31400,31900,30850,31400,209961,-0.4754358161648178
2024-10-23,31550,31550,30250,30650,151200,-2.388535031847134
2024-10-24,30650,31050,30250,30550,125601,-0.3262642740619902
2024-10-25,30400,30600,30050,30150,82847,-1.309328968903437
2024-10-28,30050,30900,30050,30700,77360,1.8242122719734661
2024-10-29,30750,31000,30300,30550,96805,-0.4885993485342019
2024-10-30,30700,30750,30100,30650,77952,0.32733224222585927
2024-10-31,30750,30900,30050,30900,98638,0.8156606851549755
2024-11-01,31000,31500,29850,31200,197137,0.9708737864077669
2024-11-04,31000,31050,30500,31000,94412,-0.641025641025641
2024-11-05,30800,31650,30800,31500,132675,1.6129032258064515
2024-11-06,31350,31650,30850,31600,131962,0.31746031746031744
2024-11-07,31700,31850,30750,31850,110340,0.7911392405063291
2024-11-08,31900,31900,31250,31300,72017,-1.726844583987441
2024-11-11,31100,31400,30200,30250,93476,-3.3546325878594248
2024-11-12,30100,30550,29650,30400,134339,0.49586776859504134
2024-11-13,29950,30550,29300,29350,119458,-3.453947368421053
2024-11-14,29600,30500,29550,30450,151133,3.747870528109029
2024-11-15,30400,30600,29800,30150,71550,-0.9852216748768473
2024-11-18,30150,30750,30000,30650,75474,1.658374792703151
2024-11-19,30350,30850,30300,30850,46254,0.6525285481239804
2024-11-20,30500,31100,30500,30850,60812,0.0
2024-11-21,30850,31400,30600,31400,72793,1.7828200972447326
2024-11-22,31250,32000,31200,31500,88102,0.3184713375796179
2024-11-25,31600,32700,31600,32700,161065,3.8095238095238098
2024-11-26,32700,32950,31800,32350,113911,-1.0703363914373087
2024-11-27,32350,32700,32100,32300,94905,-0.1545595054095827
2024-11-28,32450,32850,32100,32700,87872,1.238390092879257
2024-11-29,32700,33750,31950,33700,228555,3.058103975535168
2024-12-02,33700,34350,33350,33450,183733,-0.741839762611276
2024-12-03,33750,34800,33500,34250,162509,2.391629297458894
2024-12-04,33800,33900,32500,33200,154209,-3.065693430656934
2024-12-05,33050,33450,32550,32750,87958,-1.355421686746988
2024-12-06,32750,33050,31500,32600,113474,-0.45801526717557256
2024-12-09,32000,32300,30550,31000,310735,-4.9079754601226995
2024-12-10,31300,32450,31100,32050,110153,3.387096774193549
2024-12-11,32050,33100,32050,33100,77413,3.2761310452418098
2024-12-12,33350,33450,32250,32250,252452,-2.56797583081571
2024-12-13,32350,33950,32300,33050,106550,2.4806201550387597
2024-12-16,33100,33350,32200,32200,76092,-2.5718608169440245
2024-12-17,32250,32600,32050,32500,104956,0.9316770186335404
2024-12-18,32850,33300,32300,32700,93275,0.6153846153846154
2024-12-19,31800,32800,31750,32350,94146,-1.0703363914373087
2024-12-20,32150,32950,31900,31900,147535,-1.3910355486862442
2024-12-23,32150,33600,32000,33100,156563,3.761755485893417
2024-12-24,33100,33400,32750,32950,52521,-0.4531722054380665
2024-12-26,33100,33100,32050,32400,115644,-1.669195751138088
2024-12-27,32350,32500,31500,31800,94103,-1.8518518518518516
2024-12-30,31800,32600,31700,32150,101727,1.10062893081761
2025-01-02,32150,32400,30550,30700,179202,-4.5101088646967336
2025-01-03,30550,31800,30550,31350,84605,2.1172638436482085
2025-01-06,31250,31800,31000,31650,67311,0.9569377990430622
2025-01-07,31700,32700,31700,32550,92889,2.843601895734597
2025-01-08,32250,33250,32250,32350,95546,-0.6144393241167435
2025-01-09,32100,32300,31100,31400,166945,-2.936630602782071
2025-01-10,31500,32400,31450,32400,138434,3.1847133757961785
2025-01-13,32100,32200,31100,31500,117470,-2.7777777777777777
2025-01-14,31500,31500,30700,30900,115883,-1.9047619047619049
2025-01-15,31000,31000,30100,30350,132716,-1.779935275080906
2025-01-16,31100,31500,30550,31300,132852,3.130148270181219
2025-01-17,31350,31350,30350,30700,142930,-1.9169329073482428
2025-01-20,30700,30950,30550,30800,97314,0.32573289902280134
2025-01-21,30900,31000,30200,30600,91222,-0.6493506493506493
2025-01-22,30700,31900,30500,31700,171098,3.594771241830065
2025-01-23,31900,32800,31550,31700,252785,0.0
2025-01-24,32100,32500,31450,32450,271318,2.365930599369085
2025-01-31,32700,32700,31100,31350,143862,-3.389830508474576
2025-02-03,30900,31100,30000,30800,173395,-1.7543859649122806
2025-02-04,31200,31750,30800,31550,149455,2.4350649350649354
2025-02-05,31450,31800,30800,30900,100452,-2.0602218700475436
2025-02-06,31050,35800,31050,35150,628136,13.754045307443366
2025-02-07,35250,37100,34950,36900,699699,4.978662873399715
2025-02-10,36700,37500,36550,37250,336581,0.9485094850948509
2025-02-11,36900,37400,36000,37400,274000,0.4026845637583893
2025-02-12,37400,37750,36400,37750,196338,0.9358288770053476
2025-02-13,37800,38000,36800,37250,307041,-1.3245033112582782
2025-02-14,37250,38400,37200,38050,301380,2.1476510067114094
2025-02-17,38200,38250,37000,37450,130766,-1.5768725361366622
2025-02-18,37150,39250,36950,38800,268155,3.6048064085447264
2025-02-19,38900,39600,38700,39550,261094,1.9329896907216495
2025-02-20,39250,39500,38050,39400,224499,-0.37926675094816686
2025-02-21,39400,40150,39200,40150,182903,1.903553299492386
2025-02-24,39800,39850,38750,39500,117877,-1.61892901618929
2025-02-25,39100,41000,39000,40600,287785,2.7848101265822782
2025-02-26,40500,42400,40300,42000,259310,3.4482758620689653
2025-02-27,42050,42100,41300,41900,92821,-0.2380952380952381
2025-02-28,41750,41750,40200,40500,188721,-3.341288782816229
2025-03-04,40500,41400,39200,41150,170693,1.6049382716049383
2025-03-05,41200,43950,41200,43500,342690,5.710814094775213
2025-03-06,43400,43400,42050,43300,182178,-0.45977011494252873
2025-03-07,43300,45500,42800,44100,507748,1.8475750577367205
2025-03-10,45650,46950,44200,44900,394895,1.8140589569160999
2025-03-11,43850,45000,43600,44450,245282,-1.0022271714922049
2025-03-12,44350,46900,44350,45200,283768,1.687289088863892
2025-03-13,45100,46050,44400,45400,246507,0.4424778761061947
2025-03-14,45000,45450,43100,43400,197376,-4.405286343612335
2025-03-17,43400,44050,42900,43900,129986,1.1520737327188941
2025-03-18,44000,44500,43300,44000,131991,0.22779043280182232
2025-03-19,43950,45300,42450,42850,254884,-2.6136363636363633
2025-03-20,42850,43300,41800,42000,266070,-1.9836639439906651
2025-03-21,41800,42225,41200,42050,297665,0.11904761904761905
2025-03-24,41750,42000,40950,41500,146681,-1.3079667063020213
2025-03-25,41100,42150,40700,41200,207017,-0.7228915662650602
2025-03-26,41600,42600,41400,41950,132838,1.820388349514563
2025-03-27,41950,43050,41600,42400,153270,1.0727056019070322
2025-03-28,42500,43000,41550,42200,204947,-0.4716981132075472
2025-03-31,42000,42200,40800,41600,155039,-1.4218009478672986
2025-04-01,41700,41950,40800,41350,150481,-0.6009615384615385
2025-04-02,41150,42900,41150,41950,134659,1.4510278113663846
2025-04-03,40800,42100,40000,41700,162545,-0.5959475566150179
2025-04-04,41700,41950,40700,41400,114673,-0.7194244604316548
2025-04-07,40000,40150,38700,39050,150794,-5.676328502415459
2025-04-08,39450,39900,37900,38200,174717,-2.176696542893726
2025-04-09,37450,39200,37150,38000,111078,-0.5235602094240838
2025-04-10,39400,39750,38800,39500,179844,3.9473684210526314
2025-04-11,39700,40150,39250,40050,96293,1.3924050632911391
2025-04-14,40100,40350,39300,40150,111274,0.24968789013732834
2025-04-15,40050,40600,39700,40100,110702,-0.12453300124533001
2025-04-16,40500,41250,40050,40350,90076,0.6234413965087282
2025-04-17,40900,40900,39650,40250,91233,-0.24783147459727387
2025-04-18,40100,41300,39900,41000,61051,1.8633540372670807
2025-04-21,41000,41700,40400,40950,77880,-0.12195121951219512
2025-04-22,40900,41000,40350,40600,61608,-0.8547008547008548
2025-04-23,41100,41150,40600,40800,75733,0.49261083743842365
2025-04-24,40550,41750,40500,41400,114049,1.4705882352941175
2025-04-25,42000,42000,41400,41600,70857,0.4830917874396135
2025-04-28,41650,43550,41500,43250,173068,3.9663461538461537
2025-04-29,43200,43350,42350,42450,100153,-1.8497109826589597
2025-04-30,43050,44050,42800,43450,203151,2.3557126030624262
2025-05-02,43000,43350,42000,42100,95520,-3.1070195627157653
2025-05-07,42350,45000,41350,44950,268554,6.7695961995249405
2025-05-08,45000,45150,44100,44100,143820,-1.8909899888765296
2025-05-09,44100,44550,43050,43050,78713,-2.380952380952381
2025-05-12,43700,45750,43650,45600,216027,5.923344947735192
2025-05-13,44800,45150,44250,44500,112262,-2.4122807017543857
2025-05-14,45000,45400,44600,44650,132135,0.33707865168539325
2025-05-15,44200,44900,43550,43550,120672,-2.463605823068309
2025-05-16,44050,46400,43900,45550,285928,4.5924225028702645
2025-05-19,45000,45950,44000,44300,105642,-2.7442371020856204
2025-05-20,44600,45700,44400,45200,163420,2.0316027088036117
2025-05-21,45700,47450,45450,45750,271867,1.2168141592920354
2025-05-22,45250,45550,44000,44200,186162,-3.3879781420765025
2025-05-23,44800,49150,44800,48200,694194,9.049773755656108
2025-05-26,49900,49900,47000,48900,389004,1.4522821576763485
2025-05-27,48450,49300,47850,48750,219518,-0.3067484662576687
2025-05-28,50100,50500,47900,48450,458901,-0.6153846153846154
2025-05-29,48850,50800,48350,50000,312015,3.199174406604747
2025-05-30,50200,50800,47750,48300,380111,-3.4000000000000004
2025-06-02,48600,50400,48000,48500,197120,0.4140786749482402
2025-06-04,49300,50100,48150,49650,221694,2.3711340206185567
2025-06-05,51100,51100,48250,48900,353588,-1.5105740181268883
2025-06-09,49750,51300,48800,49100,342531,0.408997955010225
2025-06-10,49350,51300,48800,50000,487472,1.8329938900203666
2025-06-11,49500,51100,49100,50500,222912,1.0
2025-06-12,51200,52800,49800,50200,472665,-0.594059405940594
2025-06-13,50200,50300,47950,48100,325013,-4.183266932270916
2025-06-16,48500,52000,48500,51800,499065,7.6923076923076925
2025-06-17,53900,56200,53300,53800,432814,3.861003861003861
